unidade;ano;mes;partos;cesareas
HJK;2025;1;199;69
HJK;2025;2;161;48
HJK;2025;3;124;37
HJK;2025;4;127;49
HJK;2025;5;204;77
HJK;2025;6;195;65
HJK;2025;7;211;84
HJK;2025;8;170;78
HJK;2025;9;176;58
HJK;2025;10;176;71
HRAD;2025;1;103;60
HRAD;2025;2;115;63
HRAD;2025;3;113;65
HRAD;2025;4;118;70
HRAD;2025;5;106;65
HRAD;2025;6;106;62
HRAD;2025;7;109;64
HRAD;2025;8;124;62
HRAD;2025;9;126;60
HRAD;2025;10;106;59
HRJP;2025;1;113;54
HRJP;2025;2;110;53
HRJP;2025;3;160;79
HRJP;2025;4;135;56
HRJP;2025;5;139;71
HRJP;2025;6;127;62
HRJP;2025;7;131;69
HRJP;2025;8;139;67
HRJP;2025;9;108;54
HRJP;2025;10;123;59
MOV;2025;1;278;104
MOV;2025;2;242;90
MOV;2025;3;296;113
MOV;2025;4;296;113
MOV;2025;5;296;119
MOV;2025;6;286;99
MOV;2025;7;255;92
MOV;2025;8;262;97
MOV;2025;9;248;91
MOV;2025;10;266;92
